restaurant_id,restaurant_name
889,Mr. Pizza
890,The Bon Bon Bakers
891,Bawarchi Ac Family Restaurant
892,Jashn The Restaurant
893,Middle East Cafe
894,Oven Story Pizza
895,The Paul Bakery
896,Rama Restaurant
897,Bombay Misthan Bhandar
898,Pizza Wings
899,Tossin Pizza
900,Ganguram
901,Sherowali Restaurant and Fast Foods
902,Hotel Sitara Grand - Dhanturi Group of hotels
903,Ram Dairy
904,Bansal Amritsari Kulcha
905,Aloo Pitika
906,Parsa's
907,Cake Celebration
908,Bowl Soul
909,Daawat-E   Biryani
910,Biryani Adda
911,Bread Cafe
912,Crusto's - Cheese Burst Pizza By Olio
913,Mio Amore
914,Club Shawaya
915,Baskin Robbins - Ice Cream Desserts
916,Alakapuri
917,Krishna Vaishno Dhaba
918,Faasos' Signature Wraps & Rolls
919,Faasos Signature Wraps & Rolls
920,Brothers Bakery
921,Thali Junction
922,KFC
923,Manbhawan Sweets
924,Cherry Sweets & Confectioners
925,Singh's Tandoor.
926,New Khusboo Biryani (Halal)
927,Sambharsa
928,Confucius (Silpukhuri)
929,Cafe S.F. Xavier
930,Jai Krishna Vaishno Dhaba
931,HNESHEL BURI
932,7th Heaven
933,Porch Grill Restaurant
934,Bektash
935,Dhaba 14
936,Gourmet Ice Cream Cakes by Baskin Robbins
937,Grills Cafe
938,CAKE AND ICE PARLOUR
939,Wow! China
940,The Hayat
941,Pizzmo
942,Cafe La
943,Pal Sweet and Dhaba
944,Chhote Lal Restaurant
945,Nom Nom: Asian Bar & Eatery
946,Veg Sizzel's
947,Costa Coffee
948,Food Exx
949,Confucius (Christan Basti)
950,Punjabi Darbaar Dhaba
951,Baskin Robbins Happyness Shakes
952,Cafe Parizaad
953,Hosanna Restaurant
954,Pikwik Since 1991
955,The Cake Shop
956,BOSS Burger
957,Millet Express
958,Veer Ji Malai Chaap Wale
959,Barbeque Nation
960,Anna Punjabi
961,Chopstyx
962,Arusuvai Cafe
963,ZAZA Mughal Biryani
964,KAVERI's
965,Nanta Bakers
966,Dosa Hub
967,Firangi Bake
968,KASTURI DHABA AND RESTAURANT
969,Food Zilla
970,Vadilal Ice Creams
971,Idleewala
972,Vipul Dudhiya Sweets
973,Urban Biryani
974,Tihar Flavours of Jail
975,Wendy's Burgers
976,Madhurima Veg
977,FNP Cakes By Ferns N Petals
978,Shiv Sagar
979,Chullah
980,Street 9
981,9 Hills Bistro
982,Roti Tarka
983,Food On Way
984,Pind Balluchi
